"Score","Category","File","FullPath","LineNumber","SuggestedRange","MatchedPattern","Code"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","57","54-65","reportlab; \.pdf; report","from reportlab.pdfgen import canvas as rl_canvas"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","137","134-145","\.png","LOGO_PATH = APP_DIR / ""assets"" / ""logo.png"""
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","143","140-151","\.csv","PROJECTS_CSV_PATH = IMPORT_TEMPLATES_DIR / ""projects.csv"""
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","144","141-152","\.csv","ACTIVITIES_CSV_PATH = IMPORT_TEMPLATES_DIR / ""activities.csv"""
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","145","142-153","\.csv","EVM_CSV_PATH = IMPORT_TEMPLATES_DIR / ""evm.csv"""
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","146","143-154","\.csv","CONTRACTS_CSV_PATH = IMPORT_TEMPLATES_DIR / ""contracts.csv"""
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","147","144-155","\.csv","PAYMENTS_CSV_PATH = IMPORT_TEMPLATES_DIR / ""payments.csv"""
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","148","145-156","\.csv","DELAYS_CSV_PATH = IMPORT_TEMPLATES_DIR / ""delay_events.csv"""
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","149","146-157","\.csv","RISKS_CSV_PATH = IMPORT_TEMPLATES_DIR / ""risks.csv"""
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","150","147-158","\.csv","MILESTONES_CSV_PATH = IMPORT_TEMPLATES_DIR / ""milestones.csv"""
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","151","148-159","\.csv","CHANGE_ORDERS_CSV_PATH = IMPORT_TEMPLATES_DIR / ""change_orders.csv"""
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","152","149-160","\.csv","STEEL_DELAY_CSV_PATH = IMPORT_TEMPLATES_DIR / ""steel_delay_status_mployer_free_issue_material.csv"""
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","153","150-161","\.csv","RFI_STATUS_CSV_PATH = IMPORT_TEMPLATES_DIR / ""rfi_ status.csv"""
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","154","151-162","\.csv","IFC_CONFLICT_CSV_PATH = IMPORT_TEMPLATES_DIR / ""ifc_conflict.csv"""
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","155","152-163","\.csv","S_CURVE_CSV_PATH = IMPORT_TEMPLATES_DIR / ""s_curve.csv"""
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","156","153-164","\.csv","WBS_CSV_PATH = IMPORT_TEMPLATES_DIR / ""wbs.csv"""
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","158","155-166","\.docx; report","TIA_DIRECTOR_WORD_TEMPLATE_PATH = APP_DIR / ""reports"" / ""templates"" / ""time_impact_analysis_report_director_pack.docx"""
"3","Possible report reference","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","246","243-254","openpyxl","def require_openpyxl():"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","385","382-393","\.csv","if file_name == ""payments.csv"":"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","397","394-405","\.csv","elif file_name == ""delay_events.csv"":"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","418","415-426","\.csv","elif file_name == ""rfi_ status.csv"":"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","424","421-432","\.csv","elif file_name == ""ifc_conflict.csv"":"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","1923","1920-1931","\.csv","{""Input Slide"": ""Overview"", ""Input Dataset"": ""projects.csv"", ""Time Impact Use"": ""Project dates and remaining duration context"", ""Status"": ""Connected""},"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","1924","1921-1932","\.csv","{""Input Slide"": ""Delays"", ""Input Dataset"": ""delay_events.csv"", ""Time Impact Use"": ""Primary event register and delay durations"", ""Status"": ""Connected""},"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","1925","1922-1933","\.csv","{""Input Slide"": ""Risks"", ""Input Dataset"": ""risks.csv + steel/rfi/ifc files"", ""Time Impact Use"": ""Causation, responsibility, and issue-source enrichment"", ""Status"": ""Connected""},"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","1926","1923-1934","\.csv","{""Input Slide"": ""Activities"", ""Input Dataset"": ""activities.csv"", ""Time Impact Use"": ""Critical path, near-critical path, RFT, and deviation linkage"", ""Status"": ""Connected""},"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","1927","1924-1935","\.csv","{""Input Slide"": ""Contracts"", ""Input Dataset"": ""contracts.csv + payments.csv"", ""Time Impact Use"": ""Commercial pressure and certification/payment gap context"", ""Status"": ""Connected""},"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","1969","1966-1977","\.xlsx; \.xls","return letters_intelligence_root(project_id) / ""letters_intelligence.xlsx"""
"3","Possible report reference","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","2004","2001-2012","Workbook\(","def load_letters_workbook():"
"3","Possible report reference","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","2618","2615-2626","report","def printEVMHtml(project_title: str, report_date: str, evmData: dict, rootCauseDf: pd.DataFrame, mitigationDf: pd.DataFrame, evmComments: dict) -> str:"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","3943","3940-3951","\.csv","rft_df = filter_active_project(load_core_csv(APP_DIR / ""data"" / ""import_templates"" / ""rft_qtys.csv""))"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","4959","4956-4967","\.xlsx; \.xls; report","1. `Detailed_Progress_Report_PowerBI_Ready.xlsx`"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","4960","4957-4968","\.html; \.htm; report","2. `Detailed_Progress_Report.html`"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","4961","4958-4969","\.docx; report","3. `Detailed_Progress_Report.docx`"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","4962","4959-4970","\.html; \.htm; report","4. `Detailed_Progress_Report_PowerBI_Style.html`"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5265","5262-5273","\.csv","active_clause_library = project_data_path(PROJECTS_DIR, active_project_id, ""delay_analysis"", ""06- contract_library.csv"") if active_project_id else Path()"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5297","5294-5305","\.png","project_logo_path = active_project_context.branding_path / ""logo.png"" if active_project_id else LOGO_PATH"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5298","5295-5306","\.png","legacy_project_logo_path = project_data_path(PROJECTS_DIR, active_project_id, ""branding"", ""logo.png"") if active_project_id else LOGO_PATH"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5408","5405-5416","\.csv","inventory_dir = project_scoped_file(STEEL_TIA_DIR / ""01-project_metadata_template.csv"").parent"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5410","5407-5418","\.csv","if path.suffix.lower() == "".csv"":"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5438","5435-5446","\.csv; report","""01-project_metadata_template.csv"": ""Project metadata, baseline/update identity, data date, parties, and report context."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5439","5436-5447","\.csv","""02- master_activity_steel_analysis.csv"": ""Activity-level steel requirement, shortage, delayed duration, and affected activity source."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5440","5437-5448","\.csv","""03- employer_steel_supply_at_site.csv"": ""Employer supply timing used for steel availability and stock-out calculation."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5442","5439-5450","\.csv","""05- relationship_file.csv"": ""Predecessor/successor logic for causation and fragnet insertion."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5443","5440-5451","\.csv","""06- contract_library.csv"": ""Entitlement, notice, time-bar, money impact, and schedule-impact support."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5444","5441-5452","\.csv","""07- ifc_conflict.csv"": ""IFC/design conflict support delay stream."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5445","5442-5453","\.csv","""08- payments.csv"": ""Payment/cashflow support delay stream."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5446","5443-5454","\.csv","""09- rfi_status.csv"": ""RFI status support delay stream."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5447","5444-5455","\.csv","""10- contractor_steel_supplied_at_site.csv"": ""Contractor steel visibility and mitigation evidence only; excluded from employer-steel entitlement calculation."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5448","5445-5456","\.csv","""11-concurrency_matrix_template.updated.csv"": ""Concurrency framework for overlap windows, critical path checks, and compensability separation."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5449","5446-5457","\.csv","""01- master_activity_steel_analysis.csv"": ""Legacy master activity steel analysis file."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5450","5447-5458","\.csv","""02- employer_steel_supply.csv"": ""Legacy employer steel supply file."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5451","5448-5459","\.csv","""03- employer_steel_supply.csv"": ""Legacy employer supply timing used for steel availability and stock-out calculation."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5453","5450-5461","\.csv","""04- relationship_file.csv"": ""Legacy relationship file."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5454","5451-5462","\.csv","""05- contract_library.csv"": ""Legacy contract library file."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5455","5452-5463","\.csv","""06- ifc_conflict.csv"": ""Legacy IFC/design conflict support delay stream."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5456","5453-5464","\.csv","""07- payments.csv"": ""Legacy payment/cashflow support delay stream."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5457","5454-5465","\.csv","""08- rfi_status.csv"": ""Legacy RFI status support delay stream."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5458","5455-5466","\.csv","""09- samco_steel_supplied_at_site.csv"": ""Legacy contractor site steel visibility only; excluded from employer-steel delay calculation."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5459","5456-5467","\.csv","""10- samco_steel_supplied_at_site.csv"": ""Legacy contractor site steel visibility only; excluded from employer-steel delay calculation."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5460","5457-5468","\.csv","""RFI Delay.csv"": ""Detailed RFI delay register used for RFI support and concurrency review."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5467","5464-5475","\.csv","""metadata"": [""01-project_metadata_template.csv""],"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5468","5465-5476","\.csv","""master"": [""02- master_activity_steel_analysis.csv"", ""02-master_activity_steel_analysis.csv"", ""01- master_activity_steel_analysis.csv"", ""01- master_activity_steel_analysis.csv""],"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5469","5466-5477","\.csv","""employer"": [""03- employer_steel_supply_at_site.csv"", ""03- employer_steel_supply.csv"", ""02- employer_steel_supply.csv""],"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5471","5468-5479","\.csv","""relationship"": [""05- relationship_file.csv"", ""04- relationship_file.csv""],"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5472","5469-5480","\.csv","""contract"": [""06- contract_library.csv"", ""05- contract_library.csv""],"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5473","5470-5481","\.csv","""ifc"": [""07- ifc_conflict.csv"", ""06- ifc_conflict.csv""],"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5474","5471-5482","\.csv","""payments"": [""08- payments.csv"", ""07- payments.csv""],"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5475","5472-5483","\.csv","""rfi"": [""09- rfi_status.csv"", ""08- rfi_status.csv""],"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5476","5473-5484","\.csv","""samco"": [""10- contractor_steel_supplied_at_site.csv"", ""10- samco_steel_supplied_at_site.csv"", ""09- samco_steel_supplied_at_site.csv""],"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5477","5474-5485","\.csv","""concurrency"": [""11-concurrency_matrix_template.updated.csv"", ""11-concurrency_matrix_template.csv"", ""07-concurrency_matrix_template.csv""],"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5665","5662-5673","\.xlsx; \.xls","if suffix in {"".xlsx"", "".xlsm"", "".xls""}:"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5690","5687-5698","\.csv","""schedule_df"": filter_active_project(steel_tia_load_csv_or_empty(BL_FIXED_DIR / ""BL Schedule.csv"")),"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5691","5688-5699","\.csv","""float_df"": filter_active_project(steel_tia_load_csv_or_empty(BL_FIXED_DIR / ""BL float bath.csv"")),"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5692","5689-5700","\.csv","""longest_df"": filter_active_project(steel_tia_load_csv_or_empty(BL_FIXED_DIR / ""Bl Longest bath.csv"")),"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5693","5690-5701","\.csv","""critical_df"": filter_active_project(steel_tia_load_csv_or_empty(BL_FIXED_DIR / ""BL critical path.csv"")),"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5694","5691-5702","\.csv","""mep_df"": filter_active_project(steel_tia_load_csv_or_empty(BL_FIXED_DIR / ""MEP Activities.csv"")),"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5695","5692-5703","\.csv","""mep_schedule_df"": filter_active_project(steel_tia_load_csv_or_empty(BL_FIXED_DIR / ""MEP Schedule.csv"")),"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5696","5693-5704","\.csv","""mep_civil_logic_df"": filter_active_project(steel_tia_load_csv_or_empty(BL_FIXED_DIR / ""MEP Civil Logic.csv"")),"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5891","5888-5899","\.csv","STEEL_TIA_DIR / ""09- rfi_status.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5894","5891-5902","\.csv","""ifc_local_df"": steel_tia_load_first_csv_or_empty([STEEL_TIA_DIR / ""07- ifc_conflict.csv"", STEEL_TIA_DIR / ""06- ifc_conflict.csv""]),"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5909","5906-5917","\.csv","scoped_tia_dir = project_scoped_file(STEEL_TIA_DIR / ""01-project_metadata_template.csv"").parent"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5911","5908-5919","\.csv","for path in sorted(scoped_tia_dir.glob(""*.csv"")):"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5970","5967-5978","\.csv","""steel_delay_tia_templates/11-concurrency_matrix_template.updated.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5971","5968-5979","\.csv","""steel_delay_tia_templates/11-concurrency_matrix_template.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5976","5973-5984","\.csv","rfi_claim_df = frames.get(""steel_delay_tia_templates/09- rfi_status.csv"", pd.DataFrame())"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5977","5974-5985","\.csv","events_df = frames.get(""steel_delay_tia_templates/07- ifc_conflict.csv"", pd.DataFrame())"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5979","5976-5987","\.csv","evidence_df = frames.get(""steel_delay_tia_templates/06- contract_library.csv"", pd.DataFrame())"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5984","5981-5992","\.csv","""steel_delay_tia_templates/03- employer_steel_supply_at_site.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5985","5982-5993","\.csv","""steel_delay_tia_templates/03- employer_steel_supply.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5986","5983-5994","\.csv","""steel_delay_tia_templates/02- employer_steel_supply.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5992","5989-6000","\.csv","""steel_delay_tia_templates/10- contractor_steel_supplied_at_site.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5993","5990-6001","\.csv","""steel_delay_tia_templates/10- samco_steel_supplied_at_site.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5994","5991-6002","\.csv","""steel_delay_tia_templates/09- samco_steel_supplied_at_site.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","6069","6066-6077","\.csv","""steel_delay_tia_templates/11-concurrency_matrix_template.updated.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","6070","6067-6078","\.csv","""steel_delay_tia_templates/11-concurrency_matrix_template.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","6088","6085-6096","\.csv","for key in [""steel_delay_tia_templates/09- rfi_status.csv""]:"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","6103","6100-6111","\.csv","""steel_delay_tia_templates/11-concurrency_matrix_template.updated.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","6104","6101-6112","\.csv","""steel_delay_tia_templates/11-concurrency_matrix_template.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","6117","6114-6125","\.csv","for key in [""steel_delay_tia_templates/06- contract_library.csv"", ""steel_delay_tia_templates/09- rfi_status.csv"", ""steel_delay_tia_templates/07- ifc_conflict.csv""]:"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","6319","6316-6327","\.csv","""Basis"": f""Fallback from 02- master_activity_steel_analysis.csv column `{delay_col}` because no fragnet recommendation row was available for this activity."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","6349","6346-6357","\.csv","""Basis"": ""RFI Delay.csv field `delay beyond 10d` plus activity linkage from the detailed RFI delay register."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","6379","6376-6387","\.csv","""Basis"": ""07- ifc_conflict.csv current template using Activity ID, Re-Start/Finish.1, and Delayed days."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","6415","6412-6423","\.csv","""Basis"": ""07- ifc_conflict.csv `Var = -37` and the 24-Mar-26 to 30-Apr-26 consolidated revision cycle, applied to B01 foundation as instructed."","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","6629","6626-6637","\.csv","""Uploaded 07-concurrency_matrix_template.csv: """
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","6899","6896-6907","\.csv","""02- master_activity_steel_analysis.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","6900","6897-6908","\.csv","""03- employer_steel_supply_at_site.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","6902","6899-6910","\.csv","""05- relationship_file.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8117","8114-8125","\.html; \.htm","st.components.v1.html("
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8192","8189-8200","\.csv","st.info(""No critical path activities flagged in activities.csv."")"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8214","8211-8222","\.csv","st.info(""No RFT activities found in activities.csv."")"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8234","8231-8242","\.csv","st.info(f""{target_code} was not found in wbs.csv."")"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8514","8511-8522","\.html; \.htm","file_name=""earned_value_analysis.html"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8521","8518-8529","pptx; \.pptx","file_name=""earned_value_analysis.pptx"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8526","8523-8534","\.html; \.htm","st.components.v1.html(evm_html, height=1200, scrolling=True)"
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8834","8831-8842","\.csv","""label"": ""01-project_metadata_template.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8841","8838-8849","\.csv","""label"": ""02- master_activity_steel_analysis.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8848","8845-8856","\.csv","""label"": ""03- employer_steel_supply_at_site.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8862","8859-8870","\.csv","""label"": ""05- relationship_file.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8869","8866-8877","\.csv","""label"": ""06- contract_library.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8876","8873-8884","\.csv","""label"": ""07- ifc_conflict.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8883","8880-8891","\.csv","""label"": ""08- payments.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8890","8887-8898","\.csv","""label"": ""09- rfi_status.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8897","8894-8905","\.csv","""label"": ""10- contractor_steel_supplied_at_site.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8904","8901-8912","\.csv","""label"": ""11-concurrency_matrix_template.updated.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8990","8987-8998","\.csv","""Automatic BL Source"": ""BL Schedule.csv"","
"3","Generated report or output format","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8995","8992-9003","\.csv","""Automatic BL Source"": ""BL float bath.csv"","
